title,address,advertiser,link,terrace,m2,rooms,price
1 Monat Mietfrei: Erstbezug im Grünen Nahe der U2 - zwischen Badeteich Hirschstetten und Seestadt,"1220 Wien, 22. Bezirk, Donaustadt, Pfalzgasse 29",IMMOcontract Immobilien Vermittlung GmbH,willhaben.at/iad/immobilien/d/mietwohnungen/wien/wien-1220-donaustadt/1-monat-mietfrei-erstbezug-im-gruenen-nahe-der-u2-zwischen-badeteich-hirschstetten-und-seestadt-1583719861/,Balkon,46.0,2.0,899.0
Erstbezug - Neubauwohnung mit bester Verkehrsanbindung,"1100 Wien, 10. Bezirk, Favoriten, Laxenburger Straße 2D",Privat,willhaben.at/iad/immobilien/d/mietwohnungen/wien/wien-1100-favoriten/erstbezug-neubauwohnung-mit-bester-verkehrsanbindung-907538046/,Loggia,35.0,2.0,890.0
Wunderschöner Weitblick ohne Gegenüber! Ungestört am Balkon,"1220 Wien, 22. Bezirk, Donaustadt, Wagramer Straße 2A",IMMOcontract Immobilien Vermittlung GmbH,willhaben.at/iad/immobilien/d/mietwohnungen/wien/wien-1220-donaustadt/wunderschoener-weitblick-ohne-gegenueber-ungestoert-am-balkon-1686663994/,Balkon,31.0,1.0,930.0
"""Dachgeschoss mit 2 Terrassen zwischen Kagran und Kagraner Platz U1""","1220 Wien, 22. Bezirk, Donaustadt",RE/MAX Donau-City-Immobilien,willhaben.at/iad/immobilien/d/mietwohnungen/wien/wien-1220-donaustadt/-dachgeschoss-mit-2-terrassen-zwischen-kagran-und-kagraner-platz-u1-1529680281/,Terrasse,75.0,2.0,1590.0
Naturnahe und moderne Balkonwohnung in toller Lage an der Donau! Provisionsfrei,"1220 Wien, 22. Bezirk, Donaustadt, Wagramer Straße 2A",IMMOcontract Immobilien Vermittlung GmbH,willhaben.at/iad/immobilien/d/mietwohnungen/wien/wien-1220-donaustadt/naturnahe-und-moderne-balkonwohnung-in-toller-lage-an-der-donau-provisionsfrei-1611684612/,Balkon,31.0,1.0,900.0
"Erstbezug! Wunderschöne 4 - Zimmer Wohnung, Nähe Oper","1010 Wien, 01. Bezirk, Innere Stadt",LIFESTYLE PROPERTIES,willhaben.at/iad/immobilien/d/mietwohnungen/wien/wien-1010-innere-stadt/erstbezug-wunderschoene-4-zimmer-wohnung-naehe-oper-800619823/,,149.0,,3349.65
TOP Gemeindewohnung 4 Zimmer,"1100 Wien, 10. Bezirk, Favoriten",Privat,willhaben.at/iad/immobilien/d/mietwohnungen/wien/wien-1100-favoriten/top-gemeindewohnung-4-zimmer-2104361237/,Balkon,89.0,4.0,730.0
"Grünlage Golfplatz Süßenbrunn, Nähe Badeteich","1220 Wien, 22. Bezirk, Donaustadt, Weingartenallee",Privat,willhaben.at/iad/immobilien/d/mietwohnungen/wien/wien-1220-donaustadt/gruenlage-golfplatz-suessenbrunn-naehe-badeteich-1882252758/,Balkon,46.0,2.0,690.0
Moderne Zwei-Zimmer-Wohnung im Herzen von Währing,"1180 Wien, 18. Bezirk, Währing","Engel & Völkers Wien, EuV Immobilien GmbH",willhaben.at/iad/immobilien/d/mietwohnungen/wien/wien-1180-waehring/moderne-zwei-zimmer-wohnung-im-herzen-von-waehring-1183139402/,,40.0,2.0,889.19
| NUSSDORFER STRASSE | 3 ZIMMER | EINBAUKÜCHE | SANIERT | AB SOFORT VERFÜGBAR,"1090 Wien, 09. Bezirk, Alsergrund, Nußdorfer Straße",DECUS Immobilien GmbH,willhaben.at/iad/immobilien/d/mietwohnungen/wien/wien-1090-alsergrund/-nussdorfer-strasse-3-zimmer-einbaukueche-saniert-ab-sofort-verfuegbar-1318539345/,,83.0,3.0,1548.58
++RARITÄT++ EINZIGARTIGE DG-WOHNUNG IN BESTLAGE 7. BEZIRK! TOLLE TERRASSEN!,"1070 Wien, 07. Bezirk, Neubau",Adonia Immobilien GmbH,willhaben.at/iad/immobilien/d/mietwohnungen/wien/wien-1070-neubau/-raritaet-einzigartige-dg-wohnung-in-bestlage-7-bezirk-tolle-terrassen-952110622/,Terrasse,132.0,4.0,3275.0
ATTRAKTIVE und SCHÖNE 2-Zimmer-Wohnung in der Römergasse!,"1160 Wien, 16. Bezirk, Ottakring, Römergasse",RAAB&RAAB Makler/Innen GmbH,willhaben.at/iad/immobilien/d/mietwohnungen/wien/wien-1160-ottakring/attraktive-und-schoene-2-zimmer-wohnung-in-der-roemergasse-1143702571/,,44.0,2.0,798.11
Wohnen im Grünen: Mietwohnung mit Charme nahe Donauinsel!,"1210 Wien, 21. Bezirk, Floridsdorf, Jedleseer Straße",EHL Immobilien GmbH,willhaben.at/iad/immobilien/d/mietwohnungen/wien/wien-1210-floridsdorf/wohnen-im-gruenen-mietwohnung-mit-charme-nahe-donauinsel-1867245413/,Balkon,49.0,2.0,890.0
Stunning apartment with a large balcony on the 2nd floor!,"1220 Wien, 22. Bezirk, Donaustadt, Wagramer Straße 2A",IMMOcontract Immobilien Vermittlung GmbH,willhaben.at/iad/immobilien/d/mietwohnungen/wien/wien-1220-donaustadt/stunning-apartment-with-a-large-balcony-on-the-2nd-floor-807675347/,Balkon,73.0,3.0,1990.0
1-Zimmer-Neubauwohnung inkl. Komplettküche mit Geschirrspüler und Mikrowelle/ ALF52 Top 1-36,"1220 Wien, 22. Bezirk, Donaustadt, Am langen Felde 52",Haring Immobilien Treuhand GmbH,willhaben.at/iad/immobilien/d/mietwohnungen/wien/wien-1220-donaustadt/1-zimmer-neubauwohnung-inkl-komplettkueche-mit-geschirrspueler-und-mikrowelle-alf52-top-1-36-2050983647/,,35.0,1.0,675.0
NEU! Dachgeschoss-Wohnung mit zwei Ebenen! Inkl. Klimaanlage und Dachterrasse!,"1170 Wien, 17. Bezirk, Hernals",Kuhn Immobilien GmbH,willhaben.at/iad/immobilien/d/mietwohnungen/wien/wien-1170-hernals/neu-dachgeschoss-wohnung-mit-zwei-ebenen-inkl-klimaanlage-und-dachterrasse-2036505479/,"Terrasse, Dachterrasse",69.0,2.0,1326.11
Belétage Mietwohnung in Alt-Hietzing!,"1140 Wien, 14. Bezirk, Penzing",Marlies Muhr Immobilien GmbH,willhaben.at/iad/immobilien/d/mietwohnungen/wien/wien-1140-penzing/beletage-mietwohnung-in-alt-hietzing-2023989425/,"Terrasse, Balkon",148.0,3.0,2200.0
TOPLAGE + nächst ALTES AKH + UNBEFRISTET!,"1090 Wien, 09. Bezirk, Alsergrund",Hacker & Partner GesmbH,willhaben.at/iad/immobilien/d/mietwohnungen/wien/wien-1090-alsergrund/toplage-naechst-altes-akh-unbefristet-1567709311/,,69.0,2.0,954.94
*ROCHUSMARKT* MÖBLIERTE WOHNUNG IN BESTLAGE,"1030 Wien, 03. Bezirk, Landstraße",Zödi Immobilien GmbH,willhaben.at/iad/immobilien/d/mietwohnungen/wien/wien-1030-landstrasse/-rochusmarkt-moeblierte-wohnung-in-bestlage-829408646/,,30.0,,990.0
Welcome Home! Elevate your lifestyle at the Danubeview,"1220 Wien, 22. Bezirk, Donaustadt, Wagramer Straße 2A",IMMOcontract Immobilien Vermittlung GmbH,willhaben.at/iad/immobilien/d/mietwohnungen/wien/wien-1220-donaustadt/welcome-home-elevate-your-lifestyle-at-the-danubeview-1791222065/,Balkon,70.0,3.0,1900.0
2-Zimmer-Wohnung Nähe Hanuschkrankenhaus,"1140 Wien, 14. Bezirk, Penzing, Gusenleithnergasse 28a",Stolz Immobilien GmbH,willhaben.at/iad/immobilien/d/mietwohnungen/wien/wien-1140-penzing/2-zimmer-wohnung-naehe-hanuschkrankenhaus-2020275735/,,50.0,2.0,880.0
Provisionsfrei! Repräsentative Altbauwohnung in bester Innenstadtlage!,"1010 Wien, 01. Bezirk, Innere Stadt, Wollzeile",Coricon Properties,willhaben.at/iad/immobilien/d/mietwohnungen/wien/wien-1010-innere-stadt/provisionsfrei-repraesentative-altbauwohnung-in-bester-innenstadtlage-1402027346/,Balkon,155.0,4.0,2871.43
"360° TOUR // REPRÄSENTATIVE STILWOHNUNG im MAHLERHOF // Representative CLASSIC STYLE APARTMENT in ""MAHLERHOF""","1010 Wien, 01. Bezirk, Innere Stadt",KALANDRA Immobilien,willhaben.at/iad/immobilien/d/mietwohnungen/wien/wien-1010-innere-stadt/360-tour-repraesentative-stilwohnung-im-mahlerhof-representative-classic-style-apartment-in-mahlerhof-1708110419/,,222.0,6.0,4695.0
Luxus Dachgeschoss Wohnung,"1150 Wien, 15. Bezirk, Rudolfsheim-Fünfhaus",Taheri Immobilien,willhaben.at/iad/immobilien/d/mietwohnungen/wien/wien-1150-rudolfsheim-fuenfhaus/luxus-dachgeschoss-wohnung-1583113292/,,61.0,2.0,992.08
HELLE 2 ZIMMER WOHNUNG NÄHE KARLSPLATZ,"1040 Wien, 04. Bezirk, Wieden",WISION HOME GmbH,willhaben.at/iad/immobilien/d/mietwohnungen/wien/wien-1040-wieden/helle-2-zimmer-wohnung-naehe-karlsplatz-957687009/,,71.0,2.0,1375.0
